topic-id,iteration,cord-id,judgement
1,0.5,010vptx3,2
1,1.0,02f0opkr,1
1,1.0,04ftw7k9,0
1,1.0,05qglt1f,0
1,1.0,0604jed8,0
1,1.0,084o1dmp,0
1,1.5,08efpohc,0
1,0.5,0be4wta5,2
1,1.5,0cvoeiy0,0
1,1.5,0e1w86tg,1
1,0.5,0hnh4n9e,1
1,2.0,0khg28ex,0
1,1.5,0lyxvex0,0
1,1.0,0nh58odf,2
1,1.0,0pbjttv4,0
1,1.5,0qaoam29,0
1,1.5,0ti403i4,0
1,1.0,0xhho1sh,2
1,0.5,11edrkav,2
1,0.5,13jupb26,0
1,1.0,1585stal,0
1,1.5,16ciqu9w,0
1,2.0,16rgt4ca,0
1,1.0,1a8uevk8,0
1,2.0,1bvsn9e8,2
1,1.0,1e28zj1d,0
1,0.5,1esupl4q,0
1,0.5,1g2mup0k,0
1,0.5,1hwcp09t,0
1,1.5,1mchg5yg,0
1,0.5,1mjaycee,2
1,1.5,1n757c77,0
1,1.5,1p941spn,0
1,1.0,1qkwsh6a,2
1,1.0,1rhy8td0,0
1,1.5,1s6dlcer,1
1,1.0,1sq2uvur,2
1,1.5,1ub01j2x,0
1,2.0,2054tkb7,2
1,2.0,26pcjts9,2
1,1.0,2f8c66zi,0
1,2.0,2fb4z0dr,0
1,0.5,2ftw85xw,2
1,1.0,2gokv7id,0
1,1.0,2inlyd0t,2
1,1.0,2kkw9nwa,0
1,1.5,2m6ks6nd,1
1,1.0,2mwahvq0,0
1,1.5,2sxtczbf,0
1,1.0,2u4d235j,0
1,1.0,2uwnamao,0
1,1.0,2w0zr9c0,0
1,0.5,2w3bx6p8,0
1,1.0,2wshgzjk,0
1,1.5,30duqivi,1
1,1.5,3114rz8f,1
1,1.5,32vs98ya,0
1,1.5,368pz09b,0
1,2.0,36g4zdqa,0
1,2.0,37dadupn,0
1,1.0,37l48ch4,0
1,1.5,3b5jzndg,2
1,0.5,3en3yey1,0
1,1.0,3goj00ej,0
1,1.5,3h1o0oz3,2
1,1.5,3lqqk9da,0
1,0.5,3pvstiz6,0
1,2.0,3r8jbhhq,1
1,0.5,3rrry27f,0
1,1.0,3sacf4wu,0
1,2.0,3uyuwzyr,0
1,0.5,3wuh6k6g,0
1,1.5,3xq5jwof,0
1,2.0,405jvqyv,0
1,1.0,417tzufc,0
1,2.0,44l5q07k,0
1,0.5,44zduv27,0
1,1.0,49360l2a,2
1,1.5,4gpq5syb,0
1,1.0,4ihv80au,1
1,2.0,4ilpph77,0
1,1.0,4ismfcjt,0
1,1.0,4j6cbnk2,0
1,1.5,4j8b8z4t,0
1,1.0,4nt20c06,1
1,1.5,4qenzjiu,0
1,1.5,4txctk7k,0
1,0.5,4zg3ms5b,2
1,0.5,50oy9qqy,0
1,1.0,52kqp9yw,2
1,1.5,54t8xg3a,0
1,1.0,5een8p3r,0
1,1.0,5ekdfers,0
1,1.5,5ezqv94a,0
1,2.0,5f42du0b,2
1,0.5,5fg87lvu,2
1,1.0,5lm5ttai,0
1,1.5,5op2m7pu,0
1,2.0,5p29uhak,0
1,1.5,5sfojk7y,0
1,1.5,5trqi9tp,0
1,1.5,5xeergll,0
1,1.5,61snvddh,0
1,1.0,65b267ic,2
1,1.0,662pfa61,0
1,1.5,679qfp2s,0
1,2.0,6c68pmem,2
1,1.0,6dbt99h0,2
1,2.0,6dq8xx7c,0
1,1.5,6foz003n,2
1,1.5,6jakyj24,0
1,1.5,6lngz7y1,0
1,2.0,6ml0puh8,1
1,2.0,6o8dt2bg,0
1,1.0,6r08hj06,0
1,1.5,6wbrv9o1,0
1,0.5,6xcctafe,0
1,1.5,6yfj4co0,2
1,0.5,73a7uvyz,1
1,1.0,73xil5op,1
1,1.5,75cotmn2,0
1,1.0,7aj3fx5u,1
1,1.0,7cb88t8n,1
1,1.5,7e8zlt3t,0
1,1.0,7i52vltp,1
1,2.0,7im0hci3,0
1,0.5,7mldvo3j,0
1,1.5,7nla9aji,0
1,1.5,7og47tqv,0
1,2.0,7q45jz7z,0
1,1.0,7v5aln90,2
1,2.0,7yhko91n,0
1,1.5,7zbvgvk8,0
1,1.0,7zme0kxy,0
1,1.5,84ib5ol5,0
1,2.0,85acs4lk,1
1,1.5,87d7gzgb,2
1,1.0,89fol3pq,2
1,1.0,89sg0cpk,0
1,2.0,8aj97x4n,1
1,1.0,8bw843ek,2
1,1.0,8c87geuy,0
1,0.5,8d1076ge,0
1,1.0,8d3dym7g,0
1,0.5,8eg8zqnw,0
1,1.5,8fmykb4c,0
1,1.0,8g70j0qw,0
1,1.5,8gncbgot,0
1,2.0,8hiurkho,1
1,1.0,8l1vfsbc,0
1,1.0,8l411r1w,0
1,2.0,8m06zdho,2
1,1.5,8pkrg0mx,0
1,2.0,8pwe4ugb,1
1,1.0,8ruux4sw,0
1,0.5,8rxjju0t,0
1,1.5,8wzd4j82,0
1,2.0,8xsuntfd,1
1,1.5,8xz0ddci,2
1,0.5,901m6zw0,0
1,2.0,93bvy38i,0
1,2.0,958u08vb,2
1,1.5,971d0sir,1
1,2.0,97edhhkt,1
1,1.0,98syj71y,2
1,1.5,9aegg5sd,0
1,2.0,9c09xlma,0
1,2.0,9dwpnvxf,1
1,0.5,9edp04ud,0
1,2.0,9fngwsh3,0
1,1.5,9igk3ke1,2
1,0.5,9il7coyk,2
1,0.5,9pl7mta8,0
1,2.0,9rhydy8u,0
1,1.0,9rlgx2s5,2
1,1.0,9sdehh8v,1
1,2.0,9sofxhj7,1
1,1.0,9spfx07v,0
1,1.0,9ujofcsm,0
1,2.0,9xueqdri,1
1,2.0,a59qzsre,0
1,2.0,a66sszp2,1
1,2.0,abqrh2aw,2
1,1.0,aeogp8c7,2
1,1.0,aeyf0yu1,1
1,2.0,afek8kgr,2
1,1.0,ao7bkcv5,2
1,1.0,apc0lm5e,2
1,2.0,aqdlfl37,2
1,1.5,arhqix9h,0
1,0.5,athjtu2j,0
1,2.0,auu02ibd,0
1,1.0,awitk3se,2
1,0.5,ax2b0ynt,0
1,0.5,az1puj81,0
1,1.5,b05qpb7d,0
1,1.5,b21szgvy,0
1,1.0,b2f3a8un,0
1,1.0,b2znv6pa,0
1,1.5,b3al561f,0
1,0.5,b4kzgubs,0
1,1.5,b5329o75,0
1,1.0,b66bb2ri,2
1,1.5,b8j2hn9w,0
1,0.5,b8ofli35,0
1,1.0,b9r4cyp7,0
1,2.0,b9srpqjp,0
1,2.0,ba6v30jg,2
1,2.0,bawgldfi,2
1,0.5,bfjdvfuq,0
1,2.0,bim76jna,0
1,2.0,bjhdy8mg,2
1,2.0,bmfo7n9v,0
